id,city,state,latitude,longitude
1617405,Afton,MI,45.3739015,-84.4966972
980061,Afton,NC,36.3387584,-78.2161046
898512,Afton,NM,32.0728753,-106.9441731
973187,Afton,NY,42.1798029,-75.5368489
942198,Afton,NY,42.2281360,-75.5265715
1089546,Afton,OK,36.6936870,-94.9630171
1350902,Afton,TX,33.7628599,-100.8168001
1597691,Afton,WY,42.7249282,-110.9318687
1100319,Afton NE,OK,36.6559079,-94.8282885
1253593,Agar,SD,44.8383153,-100.0745668
1261007,Agar NE,SD,44.9269261,-100.0748438
1389451,Agat,GU,13.3813889,144.6547222
204818,Agate,CO,39.4616510,-103.9421807
834977,Agate,NE,42.4199638,-103.7938264
1437482,Agate,UT,39.0149880,-109.2437259
5673,Agate House,AZ,34.8141966,-109.8648361
191366,Agate Mountain,CO,38.8491609,-105.7883388
801983,Agawam North,MT,47.9999571,-112.1675232
802096,Agawam South,MT,47.8868992,-112.1689091
454105,Agency,IA,40.9950162,-92.3068492
739972,Agency,MO,39.6447180,-94.7399611
1437676,Agency Draw NE,UT,39.7377440,-109.5837411
1437558,Agency Draw NW,UT,39.7296875,-109.7329150
1144657,Agency Lake,OR,42.6181909,-121.9339065
473107,Agenda,KS,39.7077797,-97.4317035
1137035,Agness,OR,42.5564976,-124.0689776
76154,Agnos,AR,36.2772888,-91.6915332
666164,Agricola,MS,30.8076890,-88.5200194
1378833,Agua Adentro Mountain,TX,29.4924111,-104.0149201
24294,Agua Caliente,AZ,32.9853241,-113.3243540
37549,Agua Caliente Hill,AZ,32.2517423,-110.7373056
1660235,Agua Dulce,CA,34.4963817,-118.3256348
1329253,Agua Dulce,TX,27.7816920,-97.9086105
1377994,Agua Dulce,TX,27.7758590,-97.9580560
918018,Agua Fria,NM,35.6544755,-106.0222447
902110,Agua Fria Peak,NM,36.2739225,-105.2436216
1381013,Agua Nueva,TX,26.9017168,-98.6002976
1609485,Aguadilla,PR,18.3793913,-67.1882365
1609486,Aguadilla,PR,18.4274454,-67.1540698
269448,Aguanga,CA,33.4428094,-116.8650235
272744,Aguanga,CA,33.3850338,-116.7891887
1609487,Aguas Buenas,PR,18.2568989,-66.1029442
1991707,Aguas Buenas,PR,18.2630093,-66.0509990
1611249,Aguas Buenas,PR,18.3655055,-66.1112776
1992893,Aguas Buenas,PR,18.3716157,-66.0426658
1611404,Aguas Buenas,PR,18.3596717,-66.0284989
516,Aguila,AZ,33.9428069,-113.1740805
194436,Aguilar,CO,37.4908475,-104.7116524
194464,Aguilar,CO,37.4027931,-104.6533188
25247,Aguirre Peak,AZ,31.7023065,-111.7495607
1682114,Ah Pah Ridge,CA,41.4229000,-123.9278476
802082,Ahern Pass,MT,48.7516423,-113.7876186
768140,Ahles,MT,46.4788772,-107.1645098
1089554,Ahloso,OK,34.7350879,-96.6375096
634766,Ahmeek,MI,47.2796459,-88.4134473
619873,Ahmeek,MI,47.2988116,-88.3965014
980063,Ahoskie,NC,36.2868223,-76.9846808
399764,Ahsahka,ID,46.5021239,-116.3240304
256142,Ahwahnee,CA,37.3654982,-119.7262667
1075243,Aid,OH,38.5961913,-82.4932125
1244853,Aiken,SC,33.5604168,-81.7195533
1379324,Aiken,TX,34.1422953,-101.5257226
1380085,Aiken,TX,34.1759051,-101.6240604
1226491,Aiken NW,SC,33.6448635,-81.6570513
553268,Aimwell,LA,31.7835012,-91.9934657
454107,Ainsworth,IA,41.2889098,-91.5523838
826919,Ainsworth,NE,42.5499993,-99.8626236
833206,Ainsworth SW,NE,42.5563884,-99.9495688
692379,Airey,MS,30.6485262,-89.0772648
1162809,Airlie North,OR,44.7503972,-123.3314898
1168096,Airville,PA,39.8323244,-76.4063509
1511953,Airway Heights,WA,47.6446110,-117.5932728
639235,Aitkin,MN,46.5330130,-93.7102493
5005,Ajo North,AZ,32.3786692,-112.8729328
7966,Ajo South,AZ,32.3681139,-112.8637657
1265103,Akaska,SD,45.3324891,-100.1206808
1161373,Akawa Butte,OR,44.4734506,-121.3917130
900272,Akela,NM,32.2459226,-107.4055761
655094,Akeley,MN,47.0041250,-94.7269509
1145887,Akers Butte,OR,45.7459766,-117.5568507
403371,Akin,IL,37.9881043,-88.7475606
423140,Akin,IL,37.9606039,-88.6511677
420822,Akin,IL,37.8900487,-88.7056145
182984,Akron,CO,40.1605373,-103.2143843
454109,Akron,IA,42.8288818,-96.5594773
1822764,Akron,IA,40.6013911,-93.8105023
430038,Akron,IN,41.0383766,-86.0280502
430677,Akron,IN,41.0861547,-86.0133281
484500,Akron,KS,37.3516904,-97.0150368
740155,Akron,MO,40.5161157,-93.7557800
713181,Akron,MO,40.5194475,-93.8174478
835224,Akron,NE,41.7414000,-98.2422901
942227,Akron,NY,43.0964478,-78.3908559
942224,Akron,NY,43.0208924,-78.4953015
1065716,Akron East,OH,41.0256122,-81.3931660
1067325,Akron East,OH,41.0839452,-81.4165002
2542497,Akron West,OH,41.0336111,-81.5275000
112965,Alabaster,AL,33.2442813,-86.8163773
635003,Alabaster,MI,44.1611279,-83.5680323
619883,Alabaster,MI,44.1864058,-83.5580320
307629,Alachua,FL,29.7516324,-82.4248315
1515768,Aladdin,WA,48.7285210,-117.6713675
1597196,Aladdin,WY,44.6399866,-104.1835510
1617407,Alamando,MI,43.7428059,-84.5266745
485468,Alameda,KS,37.5611273,-98.0614497
905378,Alameda,NM,35.2378197,-106.6066926
903031,Alameda,NM,35.1867101,-106.6180813
1511208,Alameda Flat,WA,48.0487614,-119.2347544
898513,Alamito,NM,35.8225382,-104.4374832
331008,Alamo,GA,32.1471202,-82.7779171
430039,Alamo,IN,39.9819877,-87.0572313
452151,Alamo,IN,39.9328205,-87.1011212
1027663,Alamo,ND,48.5816949,-103.4699122
845339,Alamo,NV,37.3649613,-115.1644614
1304782,Alamo,TN,35.7847949,-89.1172883
903054,Alamogordo North,NM,32.8995325,-105.9602650
913246,Alamogordo South,NM,32.8070334,-105.9860966
1656420,Alamorio,CA,32.9792111,-115.4613751
203624,Alamosa East,CO,37.4694491,-105.8700215
192811,Alamosa West,CO,37.3925062,-105.9100223
471520,Alamota,KS,38.4611276,-100.3101357
1350947,Alanreed,TX,35.2125494,-100.7343059
619891,Alanson,MI,45.4441778,-84.7867115
730044,Alanthus Grove,MO,40.3069365,-94.5441279
331009,Alapaha,GA,31.3851954,-83.2229323
1019819,Alarka,NC,35.2612071,-83.4079327
1018781,Alarka,NC,35.3531511,-83.4454355
619894,Alba,MI,44.9747300,-84.9686585
1377986,Alba,TX,32.7826255,-95.6977391
1329324,Alba,TX,32.7929034,-95.6344037
485813,Albany,KY,36.6908992,-85.1346776
2600437,Albany,LA,30.5216104,-90.5267381
532098,Albany,LA,30.5043578,-90.5823138
639241,Albany,MN,45.6299647,-94.5700048
977310,Albany,NY,42.6525793,-73.7562317
1048820,Albany,OH,39.1264647,-82.1337561
1060817,Albany,OH,39.2275735,-82.2023695
1124715,Albany,OR,44.6528995,-123.1017616
1116796,Albany,OR,44.6365107,-123.1059282
1163418,Albany,OR,44.7331771,-123.0359271
1329326,Albany,TX,32.7234520,-99.2973005
1456118,Albany,VT,44.7308826,-72.3798297
1560726,Albany,WI,42.7077846,-89.4370629
1597700,Albany,WY,41.1841402,-106.1319565
331575,Albany East,GA,31.5612859,-84.1137956
334179,Albany NE,GA,31.6737843,-84.0768505
730103,Albany North,MO,40.3730510,-94.2641224
740620,Albany South,MO,40.2269399,-94.3691240
332780,Albany West,GA,31.5262863,-84.1354626
454112,Albaton,IA,42.1855464,-96.2908592
1023790,Albemarle,NC,35.3501426,-80.2000578
1492453,Alberene,VA,37.8865304,-78.6164036
1660239,Alberhill,CA,33.7272418,-117.3997644
475626,Albert,KS,38.4527906,-99.0114836
484740,Albert,KS,38.4714018,-99.0887082
902161,Albert,NM,35.9344805,-103.8652454
454113,Albert City,IA,42.7819199,-94.9485993
646608,Albert Lea East,MN,43.7238477,-93.2690958
639442,Albert Lea West,MN,43.6646785,-93.4679916
976348,Albert Marsh,NY,44.4606184,-74.9482514
619905,Alberta,MI,46.6435476,-88.4795785
639249,Alberta,MN,45.5732950,-96.0475549
1498398,Alberta,VA,36.8657034,-77.8863857
801984,Alberton,MT,47.0015869,-114.4734549
802198,Alberton,MT,47.0263103,-114.4009536
980076,Albertson,NC,35.1143307,-77.8188683
112970,Albertville,AL,34.2675937,-86.2088669
1560729,Albertville,WI,44.9599608,-91.6004433
454114,Albia,IA,41.0266746,-92.8057514
1584728,Albin,WY,41.4177559,-104.0982866
1657904,Albion,CA,39.2235117,-123.7686251
397366,Albion,ID,42.4126885,-113.5780630
430044,Albion,IN,41.3956043,-85.4244241
561116,Albion,ME,44.5322902,-69.4425424
801985,Albion,MT,45.1872104,-104.2768917
942246,Albion,NY,43.2464477,-78.1936320
1089573,Albion,OK,34.6628785,-95.0999613
1168118,Albion,PA,41.8906112,-80.3664542
1511072,Albion,WA,46.7582195,-117.1676716
639254,Albion Center,MN,45.1769090,-94.0735899
827561,Albion East,NE,41.6264005,-97.9175582
417919,Albion North,IL,38.4897718,-88.0575361
1823892,Albion NW,IL,38.4381043,-88.1964299
1100410,Albion SE,OK,34.5181566,-95.0538460
1808168,Albion South,IL,38.3719927,-88.0261454
826929,Albion West,NE,41.6908444,-98.0036724
660640,Alborn,MN,46.9729960,-92.5760257
905066,Albuquerque East,NM,35.0961579,-106.5069671
918025,Albuquerque West,NM,35.0533805,-106.7041930
1253607,Alcester,SD,43.0213783,-96.6308708
1261047,Alcester NE,SD,43.1560966,-96.6089284
1265675,Alcester NW,SD,43.1272086,-96.6283730
1379329,Alcoa Lake,TX,30.5643690,-97.0666540
624242,Alcona Dam Pond,MI,44.5597365,-83.8672119
513014,Alcorn,KY,37.6064723,-84.0321491
510225,Alcorn,KY,37.5614730,-84.0488167
1584732,Alcova,WY,42.5521842,-106.7164296
942253,Alcove,NY,42.4686918,-73.9256839
949087,Alcove,NY,42.4145265,-73.9909646
826936,Alda,NE,40.8711238,-98.4681219
484754,Alden,KS,38.1591789,-98.3261784
475900,Alden,KS,38.2422335,-98.3120105
619916,Alden,MI,44.8811151,-85.2756185
639262,Alden,MN,43.6702334,-93.5760513
1100166,Alden,OK,34.9753393,-98.5853391
480399,Alden SE,KS,38.0572354,-98.3259014
1168127,Aldenville,PA,41.6467525,-75.3637904
801986,Alder,MT,45.3238132,-112.1072095
579336,Alder Brook,ME,45.7745019,-68.1180748
968189,Alder Brook,NY,44.5072697,-73.9165344
973229,Alder Brook,NY,44.5133808,-73.9434794
